CustomerID,TotalOrders,Quantity,TotalPrice
12347.0,7,1702,1989.26
12348.0,4,2332,1437.24
12349.0,1,162,158.44
12350.0,1,180,268.2
12352.0,5,216,286.56
12354.0,1,332,409.4
12355.0,1,192,244.8
12356.0,2,1535,2558.77
12357.0,1,2066,3656.26
12358.0,2,216,788.1600000000001
12359.0,4,570,655.0
12360.0,2,396,444.47999999999996
12361.0,1,48,90.0
12362.0,10,700,680.4399999999999
12363.0,2,360,409.92
12364.0,4,1047,650.62
12365.0,1,108,129.84
12367.0,1,110,33.6
12370.0,4,1747,1733.09
12371.0,1,126,260.09999999999997
12372.0,3,668,820.4399999999999
12373.0,1,154,241.7
12374.0,1,144,165.24
12375.0,1,70,145.60000000000002
12377.0,2,800,1047.12
12378.0,1,1119,801.22
12379.0,1,132,197.39999999999998
12380.0,4,460,759.1600000000001
12381.0,3,269,166.14000000000001
12383.0,5,1313,1003.38
12386.0,2,344,357.2
12388.0,6,1112,1437.44
12390.0,1,206,117.84
12391.0,1,112,90.96000000000001
12393.0,4,502,849.5
12394.0,2,728,905.84
12395.0,10,1488,1085.52
12397.0,2,532,300.32
12398.0,1,1005,640.74
12399.0,4,1002,741.22
12402.0,1,24,58.800000000000004
12403.0,1,92,381.8
12405.0,1,682,693.86
12406.0,2,1453,2336.13
12407.0,5,1251,944.56
12408.0,4,928,1481.9199999999998
12409.0,2,5458,10262.32
12410.0,1,156,201.48
12412.0,3,582,629.26
12413.0,1,84,76.19999999999999
12414.0,3,280,353.76
12415.0,20,77392,123045.1
12417.0,9,875,680.7
12418.0,1,237,93.3
12420.0,1,216,100.32
12421.0,4,298,216.5
12422.0,2,152,201.35999999999999
12423.0,8,778,638.74
12424.0,2,688,1619.56
12425.0,1,264,309.6
12426.0,1,193,279.58
12427.0,2,348,162.83999999999997
12428.0,8,2563,2738.9
12429.0,4,1210,2411.5
12430.0,1,24,10.08
12431.0,14,1812,2653.66
12432.0,3,1346,2743.56
12433.0,6,9867,9801.69
12434.0,2,128,117.75999999999999
12435.0,2,2039,7625.89
12436.0,1,120,66.0
12437.0,17,2190,2401.34
12438.0,2,564,790.76
12441.0,1,87,46.5
12442.0,1,121,68.58
12444.0,3,372,504.36
12445.0,1,48,60.0
12447.0,1,72,125.99999999999999
12448.0,1,96,57.84
12449.0,4,412,510.08
12450.0,2,112,166.08
12451.0,5,5301,5550.05
12452.0,1,60,48.8
12453.0,1,190,119.4
12454.0,1,984,3013.04
12455.0,4,1732,1614.4
12456.0,3,1038,1103.24
12457.0,6,530,1127.9
12458.0,2,358,457.02
12461.0,1,168,148.44
12462.0,2,264,226.79999999999998
12463.0,4,420,482.15999999999997
12464.0,1,12,30.599999999999998
12465.0,1,228,225.23999999999998
12468.0,2,248,328.84000000000003
12471.0,25,6562,13387.66
12472.0,7,2723,3141.74
12473.0,3,1445,930.2099999999999
12474.0,16,2672,2566.89
12475.0,1,310,149.34
12476.0,9,1268,1565.3999999999999
12477.0,6,2096,6270.66
12479.0,1,188,136.76
12480.0,4,1018,1196.8799999999999
12481.0,10,2729,3047.34
12483.0,7,779,1032.6200000000001
12484.0,4,960,773.9399999999999
12488.0,3,220,285.08
12489.0,1,60,85.67999999999999
12490.0,10,1698,2141.34
12491.0,1,112,72.80000000000001
12492.0,2,49,26.1
